iter	Logloss
0	0.6794331425
1	0.6665947184
2	0.6549299765
3	0.6441909084
4	0.6341320722
5	0.6249114029
6	0.6197864224
7	0.6141425772
8	0.6099514271
9	0.6050804891
10	0.5977463637
11	0.5935476183
12	0.5874425943
13	0.5841778609
14	0.5810423161
15	0.5755228699
16	0.5727314949
17	0.5698999411
18	0.5669710093
19	0.5624767762
20	0.5582428847
21	0.5560612114
22	0.554068213
23	0.5520977735
24	0.5485882269
25	0.5465379918
26	0.5447879782
27	0.5417786009
28	0.5402721063
29	0.5389574224
30	0.5362801586
31	0.5347296158
32	0.5323799499
33	0.5312718093
34	0.5300225581
35	0.527998092
36	0.5269723524
37	0.5251539477
38	0.5241268005
39	0.5223999037
40	0.5215522695
41	0.5200991634
42	0.5186742076
43	0.5173533174
44	0.5166476319
45	0.5154645891
46	0.5147873022
47	0.5136671093
48	0.51303458
49	0.5123667353
50	0.5117422616
51	0.5112683037
52	0.5107900372
53	0.510298838
54	0.5098369775
55	0.5089703476
56	0.508102687
57	0.5073604399
58	0.5069823092
59	0.5062986854
60	0.5059092948
61	0.5053057058
62	0.5049025079
63	0.5045570726
64	0.5042575936
65	0.5037004845
66	0.5033766811
67	0.5028915437
68	0.5025730525
69	0.5020927089
70	0.5016458169
71	0.501190569
72	0.5007808726
73	0.5005533488
74	0.5002697035
75	0.5000694024
76	0.4998802505
77	0.4997108558
78	0.4995384512
79	0.4993535116
80	0.4991860963
81	0.4990522712
82	0.4988131273
83	0.4986678214
84	0.4983757022
85	0.4981611836
86	0.4979544899
87	0.4978067001
88	0.4976228091
89	0.4974696343
90	0.4973120529
91	0.4971756953
92	0.4970247389
93	0.4967253216
94	0.4964872659
95	0.4963524997
96	0.4962417648
97	0.4961119643
98	0.4959755771
99	0.4957601752
100	0.4956403393
101	0.4955026948
102	0.4954126583
103	0.4953145218
104	0.4952191752
105	0.4950542498
106	0.4949235334
107	0.4948059542
108	0.4946813662
109	0.4945841602
110	0.4945178373
111	0.4943983684
112	0.494306025
113	0.4942407879
114	0.4940766389
115	0.4939884782
116	0.4939276715
117	0.4938689167
118	0.4938129975
119	0.4937541038
120	0.4936559033
121	0.4936097212
122	0.4935105703
123	0.4934599265
124	0.4933179838
125	0.4932665913
126	0.4931895064
127	0.4931139494
128	0.4930325654
129	0.4929826721
130	0.4929261241
131	0.4928523513
132	0.4927924841
133	0.4927538554
134	0.4926935454
135	0.4926271077
136	0.4925869676
137	0.4925311799
138	0.4924839672
139	0.4924315104
140	0.4923596867
141	0.4922444405
142	0.4921945922
143	0.4921177389
144	0.4920826167
145	0.4920345913
146	0.4920078936
147	0.4919678094
148	0.4919157665
149	0.4918148704
150	0.4917770027
151	0.4917147813
152	0.4916537013
153	0.4916115148
154	0.4915678007
155	0.4915220117
156	0.4914748258
157	0.4914419361
158	0.4914093456
159	0.4913744132
160	0.4913418268
161	0.4912476286
162	0.4912128633
163	0.4911785352
164	0.4911440274
165	0.4911171031
166	0.4910839571
167	0.4910553327
168	0.4910256451
169	0.4909923282
170	0.4909723666
171	0.4909493957
172	0.4909192909
173	0.4908926589
174	0.4908686872
175	0.4908443777
176	0.4907944583
177	0.4907599409
178	0.490734291
179	0.4907092337
180	0.4906801262
181	0.4906377698
182	0.4905992835
183	0.490580749
184	0.4905582879
185	0.4905300391
186	0.4905055957
187	0.4904810585
188	0.4904628293
189	0.490442733
190	0.4904137594
191	0.4903794293
192	0.4903394156
193	0.4903107048
194	0.4902833503
195	0.4902424962
196	0.4902272608
197	0.4901973917
198	0.4901708606
199	0.4901452442
200	0.4901195079
201	0.4900780838
202	0.490058234
203	0.4900333389
204	0.4900053315
205	0.4899796331
206	0.4899604874
207	0.489931025
208	0.48991785
209	0.4898925351
210	0.4898760886
211	0.489859083
212	0.4898437738
213	0.4898156291
214	0.4897974098
215	0.489771782
216	0.4897435131
217	0.489689703
218	0.4896755699
219	0.489662132
220	0.4896413144
221	0.4896212898
222	0.4895984577
223	0.4895800236
224	0.4895643641
225	0.4895327476
226	0.4895185818
227	0.489506244
228	0.4894856798
229	0.4894663962
230	0.4894454346
231	0.4894229914
232	0.4893998763
233	0.4893823332
234	0.4893634696
235	0.4893496951
236	0.4893334831
237	0.4893083489
238	0.4892913722
239	0.4892751053
240	0.4892580909
241	0.4892473313
242	0.4892260722
243	0.4892130051
244	0.4892014176
245	0.4891859825
246	0.4891686792
247	0.4891541763
248	0.4891395219
249	0.4891147023
250	0.4891063762
251	0.4890873442
252	0.4890735573
253	0.4890600214
254	0.4890376723
255	0.4890220024
